,age,number_of_time_30_59_days_past_due_not_worse,debt_ratio,monthly_income,number_of_times_90_days_late,number_real_estate_loans_or_lines,number_of_time_60_89_days_past_due_not_worse,number_of_dependents,monthly_income_max,revolving_utilization_of_unsecured_lines_impute,debt_ratio_impute,serious_dlqin_2yrs
100380,7,0,7,0,0,1,0,0,2,1,0,0
39330,0,0,6,0,0,0,0,0,0,1,0,0
70027,1,0,1,4,0,1,0,2,6,1,1,0
57955,0,2,3,1,1,0,0,0,2,7,2,1
37137,2,0,1,7,0,2,0,1,9,1,1,0
30487,6,0,1,7,0,2,0,2,9,1,1,0
136309,6,0,1,2,0,0,0,0,4,3,1,0
61822,2,1,1,8,0,1,0,2,10,1,1,0
4053,6,0,1,3,0,1,0,0,5,0,1,0
73270,7,0,3,7,0,1,0,3,9,1,2,0
2485,1,1,1,8,0,0,0,0,10,7,1,0
41665,2,0,7,0,0,1,0,0,2,1,0,0
8613,5,0,0,4,0,0,0,0,5,1,0,0
37993,5,0,1,7,0,1,0,2,9,1,1,0
132789,4,0,1,7,0,1,0,3,9,0,1,0
146320,2,0,1,1,0,0,0,2,2,1,1,0
136957,9,0,1,5,0,0,0,0,7,1,1,0
68832,5,0,1,6,0,1,0,1,8,1,1,0
51331,4,0,5,5,0,1,0,3,7,1,4,0
68883,3,0,7,0,0,1,0,0,4,6,0,0
94224,7,0,5,4,0,3,0,0,6,1,1,0
78666,5,0,1,5,0,1,0,0,7,1,1,0
26280,0,0,1,1,0,0,0,0,3,6,1,0
86828,8,0,7,0,0,1,0,0,3,1,0,0
63433,10,0,5,0,0,2,0,0,1,1,1,0
51322,8,0,2,2,0,1,0,0,4,1,1,0
54053,6,0,3,5,0,2,0,0,7,1,2,0
78017,9,0,6,0,0,0,0,0,0,1,0,0
26045,1,1,1,6,0,2,0,0,8,0,1,0
32622,8,0,1,8,0,1,0,1,10,0,1,0
97328,4,0,1,7,0,2,0,2,9,2,1,0
100797,10,0,6,0,0,0,0,0,0,0,0,0
42320,5,0,1,8,0,2,0,2,10,2,1,0
104733,6,0,7,0,0,2,0,0,2,1,0,0
141327,9,0,6,0,0,0,0,0,0,1,0,0
127007,1,0,1,5,0,0,0,2,7,1,1,0
3731,8,0,0,1,0,0,0,0,2,0,0,0
100027,6,1,1,4,0,1,0,2,5,1,1,0
133546,2,0,2,5,0,2,0,0,7,1,1,0
48087,4,0,3,5,0,1,0,0,7,1,2,0
29639,6,1,4,7,0,3,0,0,9,4,3,0
106457,5,1,0,8,0,0,0,1,10,7,0,0
31275,1,2,6,0,1,0,0,0,1,7,0,1
77773,7,0,5,5,0,2,0,0,7,5,4,0
71606,4,0,7,0,0,1,0,0,3,0,0,0
141934,0,0,5,1,0,1,0,1,2,1,4,0
42877,4,0,3,8,0,3,0,1,10,5,2,0
825,10,0,6,0,0,0,0,0,0,1,0,0
123372,10,0,0,1,0,0,0,0,2,1,1,0
134584,0,0,5,0,0,0,0,0,1,3,4,0
139080,8,0,5,3,0,3,0,0,5,0,4,0
43206,2,0,1,5,0,0,0,0,7,6,1,0
142868,4,0,5,1,0,3,0,0,2,0,1,0
119164,5,0,2,7,0,1,0,1,9,0,1,0
12886,0,0,6,0,0,0,0,0,1,1,0,0
90606,4,0,1,8,0,1,0,2,10,1,1,0
91435,3,0,2,7,0,2,0,1,9,1,1,0
22259,3,0,1,1,0,0,0,0,2,2,1,0
117852,3,0,4,5,1,2,1,0,7,7,3,0
42675,3,0,1,8,0,0,0,3,10,1,1,0
45014,9,0,5,0,0,0,0,0,1,6,4,0
59979,6,0,6,0,0,0,0,0,0,0,0,0
53471,4,0,7,0,0,1,0,0,2,1,0,0
59591,4,0,4,8,0,2,0,2,10,3,3,0
97352,6,0,4,8,0,2,1,0,10,6,3,0
71286,6,0,1,8,0,1,0,0,10,1,1,0
75270,10,0,1,4,0,1,0,1,5,1,1,0
21299,0,0,1,1,0,0,0,0,2,7,1,0
120202,9,0,1,2,0,1,0,0,4,1,1,0
72026,2,2,5,4,0,1,1,3,5,3,4,0
54050,3,0,3,8,0,2,0,3,10,2,2,0
121876,5,0,4,6,0,1,0,1,8,4,3,0
88001,4,0,6,0,0,0,0,0,0,1,0,0
147143,3,0,1,4,0,1,0,1,5,3,1,0
122581,6,0,5,5,0,3,0,0,7,5,4,0
128223,10,0,3,8,0,2,0,0,10,0,2,0
8731,10,0,0,6,0,0,0,0,8,1,0,0
81185,9,1,4,1,0,1,0,0,2,1,3,0
127572,10,0,6,0,0,0,0,0,0,0,0,1
36191,3,0,4,6,0,2,0,1,8,6,3,0
104818,9,0,1,8,0,2,0,1,10,0,1,0
80619,8,0,0,0,0,0,0,0,0,0,0,0
39559,3,0,5,5,0,3,0,1,7,0,4,0
30540,5,0,3,4,0,1,0,0,6,1,2,0
140124,6,0,1,5,0,1,0,0,7,0,1,0
66420,2,1,7,0,0,3,0,0,2,1,0,0
83840,6,0,5,8,0,2,0,1,10,1,4,1
10667,10,0,0,1,0,0,0,0,2,1,0,0
132244,3,0,7,0,0,1,0,0,5,1,0,0
1668,0,0,4,2,0,2,0,0,3,4,3,0
132722,1,1,1,1,0,0,0,3,2,5,1,0
112310,8,2,7,0,0,0,0,0,3,7,0,0
54808,1,0,2,4,0,1,0,0,5,1,1,0
71216,0,0,1,2,0,0,0,0,4,5,1,0
6636,5,2,4,7,0,3,0,1,9,6,3,0
49344,10,0,5,0,0,0,0,0,0,7,0,0
135211,9,0,4,6,0,2,0,0,8,1,3,0
64464,4,0,1,5,0,2,0,1,7,1,1,0
130363,0,1,4,1,0,1,0,0,2,7,3,0
29824,2,2,4,7,0,3,0,3,9,3,3,0
67276,7,0,1,8,0,2,0,0,10,1,1,0
112920,2,0,6,0,0,0,0,2,0,7,0,1
135250,0,0,2,1,0,0,1,1,3,4,1,1
90950,5,1,1,5,0,1,0,1,7,0,1,0
144622,2,0,4,5,0,2,0,2,7,5,3,0
60799,7,0,1,7,0,1,0,0,9,1,1,0
36978,2,0,3,6,0,2,0,2,8,1,2,0
147571,6,0,0,2,0,0,0,0,4,1,1,1
124249,4,0,5,5,0,2,0,2,7,7,1,0
87733,9,0,6,0,0,0,0,0,0,1,0,0
141548,6,2,3,6,1,2,0,0,8,2,2,0
29523,1,1,1,6,0,2,0,0,8,1,1,0
135268,4,1,7,0,0,0,0,0,1,7,0,0
112944,0,0,6,0,0,0,0,0,0,1,0,0
47883,4,0,1,4,0,1,0,0,6,0,1,0
73042,8,0,1,3,0,1,0,0,5,4,1,0
15533,1,0,1,2,0,0,0,3,4,1,1,0
11083,2,1,3,5,1,1,0,2,7,2,2,1
119276,6,0,5,2,0,2,0,3,4,2,1,0
137628,4,0,7,0,0,1,0,0,4,1,0,0
62904,8,0,3,5,0,1,0,0,7,5,2,0
88862,4,0,7,0,0,1,0,1,3,7,0,0
26975,2,0,1,5,0,1,0,3,7,6,1,0
10985,0,0,3,8,0,3,0,0,10,0,2,0
3761,4,0,5,2,0,1,0,2,4,1,4,0
43346,3,0,1,3,0,1,0,2,5,0,1,0
31353,4,0,2,6,0,1,0,1,8,1,1,0
98951,4,1,1,8,0,1,0,1,10,0,1,0
58364,4,0,1,5,0,1,0,0,7,1,1,0
100029,3,0,6,0,0,0,0,0,0,1,0,0
48698,2,0,1,3,0,0,0,3,5,7,1,0
88070,6,0,1,5,0,1,0,1,7,7,1,0
6403,5,0,1,6,0,0,0,2,8,4,1,0
87696,1,0,2,1,0,0,0,0,2,1,1,0
113928,8,0,7,0,0,1,0,0,5,1,0,0
97668,10,0,7,0,0,3,0,0,3,1,0,0
56805,3,0,4,8,0,3,0,1,10,6,3,1
110143,1,0,4,5,0,0,0,0,7,5,3,0
88873,8,1,7,0,0,0,0,0,2,7,0,1
137524,8,0,7,0,0,0,0,0,4,1,0,0
4250,6,0,5,2,0,1,0,0,4,1,4,0
84423,1,1,1,8,0,0,0,3,10,1,1,0
67063,10,0,0,7,0,0,0,0,9,0,0,0
133433,8,0,1,5,0,1,0,0,7,0,1,0
36667,9,0,1,4,0,0,0,1,5,1,1,0
51197,0,1,1,6,0,0,0,0,8,3,1,0
63654,4,0,1,3,0,1,0,0,5,1,1,0
42071,3,0,1,7,0,0,0,2,9,5,1,0
123476,9,0,3,2,0,1,0,0,4,1,2,0
125997,6,0,1,1,1,0,0,0,2,0,1,0
9822,2,2,1,8,0,1,0,0,10,5,1,0
112133,4,0,4,4,0,1,0,0,5,1,3,0
148726,0,0,4,5,0,1,0,3,7,6,3,0
83462,7,0,7,0,0,2,0,0,3,1,0,0
37596,4,0,7,0,0,1,0,0,3,0,0,0
2514,10,1,7,0,0,0,0,0,2,7,0,0
16633,0,0,0,0,0,0,0,1,2,0,0,0
8,0,0,6,0,0,0,0,0,0,1,0,0
107219,0,0,1,1,0,0,0,0,3,1,1,0
101489,4,1,5,5,0,2,0,0,7,1,1,0
105750,0,0,7,0,0,1,0,0,2,1,0,0
100788,1,0,2,6,0,1,0,0,8,7,1,0
15494,4,0,1,5,0,1,0,3,7,1,1,0
128240,4,2,5,3,1,2,0,3,5,1,4,1
132312,2,0,1,5,0,0,0,2,7,1,1,0
84502,2,1,3,2,0,1,0,1,4,7,2,0
102687,3,0,3,5,1,1,1,2,7,7,2,1
83753,8,0,1,8,0,1,0,1,10,1,1,0
132414,10,0,3,5,0,1,0,1,7,4,2,0
14863,2,0,1,3,1,0,0,0,5,2,1,0
54447,10,1,6,8,0,3,0,0,10,1,1,0
122752,10,0,1,8,0,0,0,0,10,0,1,0
77225,1,0,6,0,0,0,0,0,1,1,0,0
26929,3,0,0,3,0,0,0,1,5,1,0,0
137236,8,1,3,5,0,1,0,2,7,1,2,0
114213,1,0,1,7,0,0,0,1,9,6,1,0
69281,0,0,1,3,0,0,0,0,5,6,1,1
7856,0,0,1,2,1,0,1,1,4,5,1,1
51859,9,0,1,7,0,1,0,0,9,2,1,0
21197,2,0,1,8,0,2,0,2,10,2,1,0
118032,8,0,1,5,0,2,0,1,7,1,1,0
70913,6,0,1,0,0,0,0,2,1,1,1,0
19778,7,1,4,2,0,0,0,0,3,5,3,0
138490,4,0,5,6,0,3,0,0,8,4,4,0
96557,1,0,1,7,0,0,0,0,9,7,1,1
57060,8,0,1,1,1,0,0,0,2,3,1,0
102133,4,0,3,8,0,2,0,3,10,1,2,0
143867,4,0,3,2,0,1,0,0,4,0,2,0
467,6,0,1,7,0,1,0,0,9,1,1,0
92799,4,0,1,6,0,1,0,3,8,2,1,0
88080,9,0,1,3,0,0,0,0,5,1,1,0
142316,2,0,7,0,0,2,0,1,3,3,0,0
90820,5,2,7,0,0,3,0,0,6,1,0,0
141730,0,0,5,2,0,1,0,0,4,7,4,0
73018,9,0,1,6,0,0,0,0,8,1,1,0
117761,3,0,2,6,0,2,0,3,8,1,1,0
60266,4,0,6,0,0,1,0,0,1,7,0,0
22119,3,0,2,6,0,1,0,3,8,6,1,0
56746,4,0,1,5,0,0,0,0,7,7,1,1
96303,3,0,1,1,0,0,0,2,3,7,1,0
103747,0,0,6,0,0,0,0,0,1,1,0,0
23760,5,1,1,8,0,0,0,0,10,7,1,0
122537,8,0,4,4,0,1,0,0,6,3,3,0
146791,1,2,2,1,1,0,1,2,2,6,1,0
32126,1,0,6,0,0,0,0,0,0,0,0,0
72647,10,0,6,0,0,0,0,0,0,0,0,0
100684,3,0,1,7,0,2,0,3,9,7,1,0
100090,2,1,7,0,0,1,0,0,2,1,0,0
25280,2,0,2,5,0,1,0,1,7,1,1,0
48671,9,0,7,0,0,1,0,0,4,1,0,0
103903,6,0,7,0,0,1,0,0,3,0,0,0
69491,7,0,7,0,0,1,0,0,2,1,0,0
15730,10,0,6,0,0,0,0,0,0,1,0,0
116740,10,0,1,5,0,0,0,0,7,1,1,0
135090,0,0,1,1,0,0,0,0,3,0,1,0
44284,3,0,1,6,0,0,0,3,8,2,1,0
39416,2,1,5,6,0,2,0,3,9,1,4,0
41531,0,0,1,2,0,0,0,0,4,7,1,0
54432,3,0,3,4,0,2,0,0,6,4,2,0
37214,6,0,1,2,0,1,0,0,4,1,1,0
125540,6,0,2,7,0,1,0,1,9,1,1,0
56781,10,0,4,5,0,2,0,0,7,1,3,0
38821,4,1,7,0,0,1,0,0,1,4,0,1
128372,5,0,0,4,0,0,0,2,6,1,0,0
92253,2,0,3,5,0,2,0,2,7,5,2,0
138063,3,0,1,8,0,1,1,2,10,1,1,0
93944,5,0,1,4,0,0,0,3,6,0,1,0
47231,0,0,0,2,0,0,0,0,4,0,0,0
16418,0,0,5,0,0,1,0,2,1,1,1,0
63715,1,0,1,1,0,0,0,0,3,4,1,0
103609,5,0,7,0,0,2,0,2,6,1,0,0
113037,10,0,0,2,0,0,0,0,4,0,0,0
100554,4,0,1,4,0,1,0,0,6,1,1,0
1448,4,0,5,5,0,3,0,3,7,2,4,0
3008,8,0,1,6,0,2,0,0,8,0,1,0
45173,8,0,1,8,0,2,0,0,10,1,1,0
145819,8,0,1,8,0,2,0,0,10,1,1,0
116252,8,1,4,6,0,2,1,1,8,7,3,0
133822,2,0,1,4,0,0,0,3,6,1,1,0
47011,10,0,4,3,0,2,0,1,5,5,3,0
94548,6,0,1,6,0,2,0,1,8,1,1,0
119236,4,0,1,5,0,3,0,3,7,0,1,0
12690,0,0,1,2,0,0,0,1,4,1,1,0
85810,2,0,4,7,0,2,0,0,9,5,3,0
47227,10,0,0,1,0,0,0,1,3,1,0,0
124712,9,0,1,5,1,1,0,0,7,6,1,0
77791,3,0,2,5,0,1,0,1,7,1,1,0
145824,5,0,1,8,0,2,0,0,10,1,1,0
12257,2,0,0,2,0,0,0,0,4,1,1,0
24653,0,0,6,0,0,0,0,1,1,5,0,0
97831,0,0,6,0,0,0,0,0,1,7,0,0
13730,3,0,1,7,0,2,0,2,9,1,1,0
104214,9,0,6,0,0,0,0,0,0,1,0,0
132758,3,1,5,2,0,0,0,0,4,7,1,0
135262,6,0,1,8,0,1,0,2,10,1,1,0
30751,7,0,3,1,0,0,0,0,2,3,2,0
83851,10,0,0,7,0,0,0,0,9,0,0,0
127120,0,0,0,2,0,0,0,0,4,1,1,0
126446,9,0,1,6,0,0,0,2,8,4,1,0
95799,8,2,4,8,0,3,0,0,10,7,3,0
30156,0,0,1,3,0,0,0,0,5,6,1,0
144008,2,0,1,3,0,0,0,0,5,1,1,0
88821,5,0,7,0,0,2,0,0,6,1,0,0
81394,2,0,1,6,0,2,0,2,8,5,1,0
85521,3,0,1,4,0,1,0,1,5,4,1,0
110284,4,0,2,5,0,3,0,1,7,0,1,0
113209,5,0,1,3,0,1,0,0,5,1,1,0
75661,7,0,7,0,0,2,0,0,4,0,0,0
1712,5,0,0,7,0,1,0,0,9,1,1,0
6107,4,0,2,7,0,2,0,0,9,1,1,0
15962,4,0,5,3,0,1,0,0,5,1,4,0
113639,8,0,3,5,0,2,0,0,7,1,2,0
9530,0,0,1,4,0,0,0,0,6,5,1,1
84111,5,1,7,0,0,1,0,0,4,2,0,0
98821,6,0,3,8,0,3,0,3,10,5,2,0
28133,7,0,3,7,0,2,0,0,9,1,2,0
36095,2,0,1,5,0,0,0,3,7,0,1,0
17546,8,1,1,5,1,0,0,0,7,1,1,1
62057,10,0,6,0,0,0,0,0,1,0,0,0
3480,9,0,0,3,0,0,0,0,5,1,0,0
84236,10,0,0,0,0,0,0,0,0,0,0,0
77558,4,0,1,7,0,0,0,2,9,1,1,0
103846,8,0,1,2,0,0,0,1,4,0,1,0
149600,5,0,4,4,0,3,0,1,6,3,3,0
62433,5,1,4,8,0,3,0,3,10,7,3,0
147616,3,1,1,7,0,1,0,2,9,1,1,0
131960,9,0,1,8,0,2,0,0,10,0,1,0
87260,3,1,3,5,0,1,0,2,7,4,2,0
40411,10,0,1,2,1,0,0,0,4,7,1,1
111395,2,0,3,8,0,3,0,0,10,5,2,0
80165,0,0,0,5,0,0,0,2,7,1,0,0
135696,10,0,6,0,0,0,0,0,0,1,0,0
61144,2,0,3,7,1,1,0,2,9,7,2,1
83281,4,0,5,2,0,2,0,0,4,1,4,0
91417,6,0,1,8,0,1,0,1,10,4,1,0
66110,6,0,1,5,0,2,0,0,7,0,1,0
4259,3,1,1,1,0,0,0,1,2,1,1,0
47637,2,0,4,4,0,2,0,2,6,4,3,0
56196,0,0,0,0,0,0,0,0,0,0,0,0
63336,0,0,6,0,0,1,0,0,1,3,0,0
45974,4,0,1,5,0,1,0,0,7,0,1,0
119539,1,0,5,3,0,1,0,2,5,5,4,1
73049,3,1,2,5,0,1,0,3,7,7,1,1
2430,7,0,7,0,0,2,0,0,2,7,0,0
66676,6,0,6,0,0,0,0,0,0,1,0,0
90620,1,0,1,8,0,1,0,0,10,1,1,0
23435,10,0,1,7,0,2,0,0,9,1,1,0
15747,6,1,1,5,1,2,0,0,7,4,1,0
43839,9,0,3,5,0,1,0,0,7,5,2,0
70066,6,1,7,0,1,3,0,1,7,7,0,0
37558,9,0,1,5,0,1,0,1,7,0,1,0
43225,6,0,1,2,0,0,0,0,4,0,1,0
88248,10,0,1,8,0,1,0,1,10,1,1,0
25207,10,0,0,1,0,0,0,0,3,0,0,0
77854,6,0,2,6,0,2,0,0,8,1,1,0
90120,6,0,1,5,0,2,0,2,7,1,1,0
35116,7,0,1,2,0,0,0,0,4,2,1,0
139067,4,0,3,4,0,1,0,2,6,0,2,0
10869,9,0,0,0,0,0,0,0,0,0,0,0
41925,4,0,1,5,0,0,0,3,7,7,1,0
107066,10,0,1,2,0,0,0,1,4,1,1,0
170,9,0,1,4,0,0,0,0,6,1,1,0
71377,4,1,6,0,0,1,0,0,1,0,0,0
20708,3,0,1,4,0,1,0,2,6,7,1,0
38021,0,0,6,0,0,0,0,0,1,4,0,0
94373,2,0,1,4,0,0,0,0,6,6,1,0
148436,1,0,6,0,0,0,0,0,0,0,0,0
120397,8,0,6,0,0,1,0,0,1,1,0,0
102521,1,0,0,3,0,0,0,0,5,1,0,0
80405,3,0,6,0,0,0,0,0,0,1,0,0
137440,5,0,7,0,0,1,0,0,6,4,0,0
71051,4,0,1,3,0,2,0,0,5,1,1,0
98478,4,0,1,8,0,1,0,0,10,1,1,0
124971,8,0,1,4,0,0,0,0,6,1,1,0
40102,3,0,6,0,0,0,0,0,0,0,0,0
23939,6,0,1,5,0,0,0,1,7,1,1,0
145931,1,0,0,6,0,0,0,2,8,1,1,0
72658,0,0,0,8,0,0,0,0,10,1,0,0
97836,7,1,1,4,0,0,0,0,6,5,1,0
27751,5,0,5,4,0,2,1,1,6,7,4,0
65469,2,0,7,0,0,1,0,2,2,1,0,0
17211,8,0,4,6,0,0,0,0,8,4,3,0
88769,3,1,7,0,0,1,0,0,2,5,0,0
29082,7,1,2,3,1,1,0,2,5,6,1,0
32186,8,0,6,0,0,1,0,0,1,0,0,0
147739,3,0,4,4,0,3,0,1,6,1,3,0
75278,3,2,4,4,0,2,0,2,5,1,3,0
73714,5,0,1,8,0,3,0,0,10,1,1,0
90169,5,0,1,5,0,0,0,2,7,1,1,0
79008,5,0,3,7,0,2,0,1,9,1,2,0
137912,10,0,1,4,0,2,0,0,5,1,1,0
60452,0,0,7,0,1,1,1,0,3,7,0,1
139392,10,0,6,0,0,0,0,0,0,0,0,0
69058,5,0,3,5,0,3,0,2,7,2,2,0
13479,0,0,1,7,0,0,0,2,9,1,1,0
46470,0,2,1,6,1,0,1,0,8,4,1,0
117871,4,1,5,1,0,1,1,0,3,4,1,0
43202,2,1,1,4,0,0,0,3,6,5,1,0
110606,6,1,2,8,0,1,0,0,10,1,1,0
124914,5,0,5,0,0,0,0,2,2,1,1,0
36995,3,1,3,5,0,2,0,0,7,3,2,0
23804,6,0,4,4,0,1,0,2,5,1,3,0
78082,1,0,7,0,0,3,0,1,2,1,0,0
104093,9,0,3,5,0,1,0,1,7,1,2,0
18152,8,0,1,8,0,3,0,0,10,1,1,0
113528,10,0,6,0,0,0,0,0,0,1,0,0
11191,3,1,3,6,0,3,0,0,8,0,2,0
35147,2,0,3,7,0,1,0,1,9,4,2,0
65307,7,2,5,1,0,1,0,0,2,7,4,1
134186,4,0,0,7,0,0,0,2,9,0,0,0
43714,2,0,5,0,0,1,1,1,1,7,4,0
124885,10,0,1,5,0,0,0,0,7,1,1,0
113399,4,0,2,7,0,1,0,1,9,6,1,0
13447,0,0,1,3,0,0,0,2,5,1,1,0
36915,2,0,1,6,0,1,0,3,8,1,1,0
14990,9,1,1,5,0,2,0,0,7,1,1,0
117851,1,2,3,2,0,1,1,1,4,0,2,1
109579,6,0,1,5,0,2,0,0,7,2,1,0
101453,4,0,1,8,0,2,0,2,10,1,1,0
1763,2,2,1,6,0,0,0,0,8,7,1,0
110488,10,0,6,0,0,0,0,0,0,1,0,0
36745,3,0,7,0,0,2,0,0,7,1,0,0
60077,10,0,1,5,0,0,0,0,7,1,1,0
113573,6,0,2,7,0,3,0,0,9,1,1,0
18254,4,0,2,8,0,2,0,1,10,4,1,0
97189,8,0,3,2,0,1,0,0,4,0,2,0
1254,10,0,1,5,0,0,0,0,7,1,1,0
29064,9,0,6,0,0,0,0,0,0,7,0,0
58663,1,0,0,2,1,0,0,1,4,7,1,0
100137,6,0,7,0,0,2,0,1,5,1,0,1
118280,0,0,1,7,0,2,0,1,9,3,1,0
21846,9,0,1,2,0,1,0,0,4,1,1,0
66417,7,0,1,7,0,2,0,3,9,0,1,0
836,9,0,0,5,0,0,0,0,7,0,0,0
115231,2,0,1,6,0,0,0,2,8,0,1,0
22392,8,0,1,3,0,1,0,0,5,1,1,0
75310,0,0,1,1,0,0,0,0,2,6,1,0
79990,8,0,1,2,0,0,0,0,4,1,1,0
52494,3,0,2,3,0,1,0,1,5,1,1,0
121593,3,0,6,0,0,0,0,2,1,1,0,0
42922,4,0,1,4,0,1,0,1,5,1,1,0
82781,10,0,1,8,0,1,0,0,10,1,1,0
30816,8,0,3,0,0,0,0,0,1,0,2,0
39095,7,0,1,6,0,0,0,3,8,1,1,0
80776,4,0,2,6,0,1,0,0,8,1,1,0
74277,2,2,1,5,0,0,0,0,7,7,1,0
84032,10,0,0,3,0,0,0,0,5,1,0,0
116593,10,0,6,0,0,0,0,0,0,1,0,1
71278,9,0,1,5,0,2,1,0,7,1,1,1
143526,1,0,3,2,0,1,0,0,4,2,2,0
38475,10,0,5,0,0,2,0,1,2,1,1,0
144687,10,0,1,5,0,0,0,0,7,0,1,0
86740,7,0,3,4,0,0,0,0,5,5,2,0
44533,10,0,1,4,0,1,0,0,6,1,1,0
70079,6,0,4,5,0,2,0,0,7,7,3,0
110775,10,0,0,3,0,0,0,0,5,4,1,0
81133,1,0,6,0,0,1,0,0,1,1,0,0
54504,8,0,3,8,0,3,0,0,10,1,2,1
35474,1,0,2,7,0,2,0,2,9,1,1,0
33443,4,0,5,5,0,1,0,3,7,0,4,0
52170,8,0,5,3,0,1,0,0,5,1,4,0
96534,3,0,6,0,0,0,0,0,1,7,0,1
72620,9,0,7,0,0,3,0,0,2,2,0,0
117626,4,0,4,5,0,2,0,1,7,1,3,0
50894,4,1,3,6,1,1,1,2,8,7,2,1
77198,9,0,6,0,0,0,0,0,0,1,0,0
10345,10,0,6,0,0,0,0,1,0,1,0,0
126344,7,0,3,6,1,1,0,1,8,6,2,0
27030,4,0,1,7,0,0,0,1,9,6,1,0
38632,7,0,1,8,0,2,0,0,10,2,1,0
111807,8,2,4,3,0,2,0,0,5,7,3,1
14965,4,0,7,0,0,1,0,0,4,1,0,0
57256,3,0,1,7,1,1,1,3,9,7,1,0
91049,4,0,0,5,0,0,0,0,7,0,0,0
14788,0,2,0,0,1,0,1,0,0,0,0,1
39022,3,0,4,4,0,2,0,1,5,1,3,0
49713,0,0,1,0,0,0,0,0,2,7,1,0
32978,7,1,2,3,0,0,0,2,5,5,1,0
14529,5,0,1,6,0,0,0,0,8,5,1,0
37098,0,0,3,4,0,1,0,0,6,7,2,0
145526,0,0,0,0,0,0,0,0,1,7,0,0
38723,1,0,0,0,0,0,0,0,2,0,0,0
13226,6,0,1,7,0,2,0,0,9,2,1,0
53139,3,0,1,4,0,2,0,1,6,1,1,0
42702,8,0,6,0,0,0,0,0,1,1,0,0
8559,1,0,2,6,0,1,0,2,8,3,1,0
48829,10,0,4,2,0,3,1,1,4,0,3,1
54689,0,0,6,0,0,0,0,0,0,1,0,0
115133,5,0,1,7,0,1,0,0,9,0,1,0
7269,2,1,7,0,1,2,1,0,2,6,0,1
3482,6,0,1,6,0,2,0,0,8,0,1,0
13493,2,0,1,4,0,1,0,2,5,1,1,0
39488,4,0,2,5,0,2,0,0,7,3,1,0
65464,8,0,4,4,0,2,0,0,6,1,3,0
57274,4,0,7,0,0,1,0,0,2,1,0,0
20067,7,0,0,7,0,0,0,0,9,1,1,0
35313,0,0,1,1,0,0,1,0,2,1,1,0
40684,4,0,4,1,0,0,0,0,2,1,3,0
80548,3,0,1,6,0,0,0,1,8,6,1,0
74747,4,0,1,1,0,1,0,0,3,1,1,0
115484,0,0,0,2,0,0,0,0,4,0,0,0
696,5,0,7,0,0,1,0,2,4,1,0,0
80176,8,0,1,7,0,2,0,1,9,1,1,0
63467,6,0,7,0,0,1,1,0,2,1,0,0
10165,6,0,1,5,0,1,1,0,7,5,1,0
27588,7,0,1,4,0,1,0,0,6,1,1,0
124052,4,0,7,0,0,3,0,0,10,4,0,0
37597,10,0,6,0,0,0,0,0,0,1,0,0
128664,2,1,7,0,0,1,0,0,5,1,0,0
106410,8,0,1,8,0,1,0,0,10,0,1,0
50076,7,0,2,8,0,3,0,0,10,1,1,0
367,3,1,7,0,0,2,0,0,6,1,0,0
100153,8,0,7,0,0,1,0,0,3,7,0,0
30719,9,0,4,8,0,2,0,0,10,6,3,0
90988,1,0,1,5,0,0,0,1,7,1,1,0
9914,0,1,3,4,0,1,0,1,5,4,2,0
33327,6,1,1,5,1,0,0,0,7,7,1,0
7667,2,0,1,4,0,0,0,1,5,2,1,0
83947,2,0,2,8,0,0,0,3,10,6,1,0
5077,4,0,7,0,0,1,0,0,3,0,0,0
139144,5,0,4,6,0,1,0,2,8,2,3,0
77651,8,0,5,0,0,2,0,1,1,2,1,0
19845,6,1,1,6,0,0,0,1,8,3,1,0
125417,4,0,5,4,0,3,0,1,5,1,4,0
121691,5,0,0,8,0,0,0,0,10,0,0,0
50851,2,0,4,4,0,0,0,2,6,7,3,0
129474,9,0,1,1,0,0,0,0,3,1,1,0
136068,6,0,1,7,0,2,0,0,9,1,1,0
147631,2,0,1,0,1,0,1,1,2,1,1,1
27397,6,0,1,8,0,1,0,0,10,1,1,0
42884,0,0,5,2,0,1,0,0,4,6,4,0
81787,10,0,6,0,0,0,0,0,0,1,0,0
111885,2,0,1,4,0,1,0,3,6,4,1,0
2960,9,0,1,1,0,0,0,0,2,7,1,0
108216,2,0,5,4,0,3,0,0,5,0,1,0
138286,8,0,1,8,0,1,0,1,10,3,1,0
16810,0,0,1,6,0,0,0,0,8,0,1,1
135933,6,0,4,5,0,1,0,0,7,7,3,0
118106,10,0,1,5,0,2,0,1,7,0,1,0
106809,6,0,1,8,0,0,0,0,10,1,1,0
107230,6,0,6,0,0,0,0,0,0,0,0,0
13037,0,1,1,1,0,0,0,0,3,7,1,0
77832,3,0,1,1,0,0,0,3,2,1,1,0
80437,8,0,1,8,0,1,0,0,10,1,1,0
37816,0,0,6,0,0,0,0,0,1,1,0,0
24598,9,0,0,5,0,0,0,0,7,1,0,0
97525,2,0,0,1,0,0,0,0,2,7,0,1
82727,4,0,5,1,0,1,0,0,2,7,1,0
75707,8,0,7,0,0,1,0,0,2,1,0,0
102073,8,0,5,6,0,3,0,2,8,6,4,0
10962,7,0,0,3,0,0,0,0,5,1,0,0
141142,9,0,3,5,0,2,0,0,7,1,2,0
62630,8,0,6,0,1,0,0,0,0,0,0,0
